original_title,overview,genres,tagline,keywords,directors,cast,poster_path,status,spoken_languages,averageRating
It's a Gift,"After he inherits some money, Harold Bissonette (""pronounced bis-on-ay"") decides to give up the grocery business, move to California and run an orange grove. Despite his family's objections and the news that the land he bought is worthless, Bissonette packs up and drives out to California with his nagging wife Amelia and children.",Comedy,LOOK THIS GIFT IN THE FACE IF YOU WANT A BIG HORSE-LAUGH,"husband wife relationship, grocer, inheritance, grocery store, henpecked husband, molasses, domineering wife, nagging wife, orange grove, noise",Norman Z. McLeod,"W.C. Fields, Kathleen Howard, Jean Rouverol, Julian Madison, Tommy Bupp, Baby LeRoy, Tammany Young, Morgan Wallace, Charles Sellon, Josephine Whittell",/3DlYiSh3S7A9GO15gUu7zg92bD0.jpg,Released,English,7.0
Kidnapped,Robert Louis Stevenson's hero David Balfour joins rebel Alan Breck Stewart  in 18th-century Scotland.,"Adventure, Drama",A triumph in big-picture entertainment! Filmed in glorious new sepia-tone!,"based on novel or book, scotland, attempted murder, 18th century, jacobite rebellion","Alfred L. Werker, Otto Preminger","Warner Baxter, Freddie Bartholomew, Arleen Whelan, C. Aubrey Smith, Reginald Owen, John Carradine, Nigel Bruce, Miles Mander, Ralph Forbes, H.B. Warner",/pTyZCwH1inELi1If5YkuXNTKe8Q.jpg,Released,English,6.6
The Case of Sergeant Grischa,"This film earned an Oscar nomination for Sound Recording. It is the only film nominated in this category that is among the lost. No negative or print material is known to have survived. Contemporary reviews were scathing, describing the film as a vastly overlong and boring talk-fest.",Drama,The Supreme Epic of Mankind,"world war i, corporal, lost film, german army corporal",Herbert Brenon,"Chester Morris, Betty Compson, Jean Hersholt, Alec B. Francis, Gustav von Seyffertitz, Leyland Hodgson, Paul McAllister, Raymond Whittaker, Bernard Siegel, Frank McCormack",/3UuKtXEY3WTGiBYzFAM4GM5fbGE.jpg,Released,English,6.7
Watch on the Rhine,"On the eve of World War II, the German Kurt Müller, his American-born wife Sara, and their three children, having lived in Europe for years, visit Sara's wealthy mother near Washington, DC. Kurt secretly works for the anti-Nazi resistance. A visiting Romanian count, becoming aware of this, seeks to blackmail him.","Drama, Thriller",On her lonesome lips a smile.,"washington dc, usa, germany, anti-nazi resistance","Herman Shumlin, Hal Mohr","Bette Davis, Paul Lukas, Geraldine Fitzgerald, George Coulouris, Lucile Watson, Beulah Bondi, Donald Woods, Henry Daniell, Eric Roberts, Donald Buka",/yCt7CtTpl5Hqu11nshHoQEjNOzr.jpg,Released,English,7.1
Mobster,"Mobster tells the story of the West Coast head of the Israeli mob and the Special Agent implanted to bring him down. Using specialized, modern surveillance, the undercover Agent infiltrates the mobster's inner circle in an attempt to discover his link to black-market nuclear arms.","Action, Crime, Drama",Never damn God...,"undercover, high tech surveillance, mobster, surveillance, taser, found footage, undercover operation, kingpin, special agent, mob, israeli mafia",Brian Eric Johnson,"Meni Aga, Michel Wakim, Hamzah Saman, Ninef Arsanos, Christina Woods, Brian Eric Johnson, Dave Silva, Roger Gutierrez, Rogena, Sylver",/kH3pLqRAb8rx78TmAy7kLwzeAAH.jpg,Released,English,6.9
Wagon Wheels,"A wagon train heads west from Independence, Mo., along the Oregon Trail, led by proud cowboy Clint Belmet. On board are feisty young widow Nancy Wellington and her toddler, Sonny, as well as the older Abby Masters, who begins a romance with scout Jim Burch. Along the way, the wagon train battles Indians led by Kenneth Murdock, a trapper who doesn't welcome competition for Oregon's lucrative fur trade.  Wagon Wheels is a 1934 remake of 1931's Fighting Caravans, using stock footage from the original.","Action, Adventure, Comedy, Drama, Romance, Western, Music",They Fought Their Way And Feared No Danger!,"settler, oregon, usa, indian attack, scout",Charles Barton,"Randolph Scott, Gail Patrick, Monte Blue, Raymond Hatton, Billy Lee, Jan Duggan, Howard Wilson, Leila Bennett, Olin Howland, Sam McDaniel",/uC9bpBlzgJ0jxWfVDsqrYvKpCV5.jpg,Released,English,5.7
Kathy O',A movie publicist is assigned to keep the public from learning that a beloved child star is an egotistical little brat.,"Comedy, Drama","That Little Shocker of ""The Bad Seed"" is Back to Rock You in a Whole New Wonderful Way!","publicity, little girl",Jack Sher,"Dan Duryea, Jan Sterling, Patty McCormack, Mary Fickett, Sam Levene, Mary Jane Croft, Ricky Kelman, Terry Kelman, Ainslie Pryor, Barney Phillips",/ht77xovyOdO6dK6TN2WMNFiq7QD.jpg,Released,English,6.8
Antz,"A neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.","Adventure, Animation, Comedy, Family",Every ant has his day.,"princess, work, worker, hero, general, ant, assignment, friends, soldier, individuality","Eric Darnell, Tim Johnson, Lawrence Guterman","Sharon Stone, Dan Aykroyd, Anne Bancroft, Danny Glover, Gene Hackman, Jane Curtin, Sylvester Stallone, Jennifer Lopez, Christopher Walken, John Mahoney",/lWPjxbUMpAHFkJpZHHNWhQaRsax.jpg,Released,English,6.5
Night Eyes,A Beverly Hills home-security guard is seduced by a rock star's wife he monitors by video.,Thriller,"He was hired to watch, now he's tempted to touch.","adultery, infidelity, rock star, camera, investigation, security guard, security, voyeurism",Jag Mundhra,"Tanya Roberts, Cooper Huckabee, Veronica Henson-Phillips, Warwick Sims, Yvette Buchanan, Steven Burks, Paul Carr, Dena Drotar, Larry Poindexter, Chick Vennera",/yiQrfCLtx0sx36VayYLBFTQfYiI.jpg,Released,English,4.2
Reno,A divorce lawyer prospers as a gambling tycoon.,Drama,All he had to thank Reno for was lovely Jessie Gibbs...And now he was losing her!,"jurors, gambling",John Farrow,"Richard Dix, Gail Patrick, Anita Louise, Paul Cavanagh, Laura Hope Crews, Louis Jean Heydt, Hobart Cavanaugh, Charles Halton, Astrid Allwyn, Joyce Compton",/cjQzEzJSHtvt8IMeqSmuDU4V2Tn.jpg,Released,English,5.6
It's a Hi-5 Christmas,"Tis the season to be jolly... Hi-5 have got Christmas all wrapped up with the ultimate gift - hours of singing, dancing and fun!  Charli decorates the Hi-5 Christmas tree...  Nathan wraps fun shaped Christmas presents...  Kellie and Chats make Christmas goodies...  Tim, with Hi-5's help, sings a special Christmas song... and Kathleen makes a sandy summer snowman.  Plus as an extra special festive treat, Hi-5 sing all your favourite Christmas songs in their spectacular live Christmas Eve Concert.  The stockings are up, the sleighs are out, the reindeer are ready and Santa is about to break into a sweat, so lets put the heat back into Christmas and celebrate the holiday season",Family,Hi-5,christmas,Ian Munro,"Charli Robinson, Kathleen de Leon Jones, Kellie Hoggart, Nathan Foley, Tim Harding",/hYUUGlRzcHihGcCeH5lD07IvAXI.jpg,Released,English,8.0
An Unexpected Christmas,"Jamie hasn’t told his family that he and his now ex-girlfriend Emily broke up. After an inopportune run-in with Emily at the train station in his hometown, Jamie convinces her to pretend they’re still a couple to avoid ruining Christmas for his family.","TV Movie, Comedy, Romance",What's a little romance between exes?,christmas,Michael Robison,"Bethany Joy Lenz, Tyler Hynes, Alison Wandzura, Lynda Boyd, Paul McGillion, Elan Ross Gibson, Logan McInnes, Jessica Garcie, Morgana Wylie, Tom Pickett",/xX3396RcIQynrulZHFlE1DqAOfy.jpg,Released,English,6.9
Moonfleet,"Set in the eighteenth century, Moonfleet is about John Mohune, a young orphan who is sent to the Dorset village of Moonfleet to stay with an old friend of his mother's, Jeremy Fox. Fox is a morally ambiguous character, an elegant gentleman involved with smugglers and pirates.","Adventure, Drama, History",Wild and wonderful as the thrill-packed novel that inspired it !,"treasure, pirate, rum",Fritz Lang,"Stewart Granger, George Sanders, Joan Greenwood, Viveca Lindfors, Jon Whiteley, Liliane Montevecchi, Melville Cooper, Sean McClory, Alan Napier, John Hoyt",/dkbpCz2IqeQDg4eomCkezCH99Ff.jpg,Released,English,6.6
Die Aids-Trilogie: Schweigen = Tod – Künstler in New York kämpfen gegen AIDS,AIDS victims and activists cope with hardship and society’s ignorance.,Documentary,New York Artists Fight Against AIDS,"aids, hiv, lgbt",Rosa von Praunheim,"Bern Boyle, Emilio Cubeiro, Rafael Gamba, Allen Ginsberg, Keith Haring, Don Moffet, David Wojnarowicz, Diamanda Galás",/ch2HnVay7pQMrFZRQWpDmpnQM5.jpg,Released,English,7.2
For the Common Defense!,"This Crime Does Not Pay short shows how cooperation among all the nations of the Americas helps the war effort. In this case, a US government agent travels to Chile and Colombia. He works with local authorities to try to thwart an Axis plan to ship stolen ammunition.","Drama, Crime",Another Crime Does Not Pay Subject,war propaganda,Allan Kenward,"John Litel, Douglas Fowley, Stephen McNally, Van Johnson, Egon Brecher, Jacqueline Dalya, Mark Daniels, Steven Geray, José Portugal",/iPMoZBNI8iFOnteLDTNy7pYCelK.jpg,Released,"English, Italian, Japanese, Spanish",5.4
Vampire Slaughter: Eaten Alive,"After regaining consciousness on DeathHead Island, The Gore Collector, Tape Head and the now fully-assembled Molly board a ramshackle raft made with wood taken from the actual crucifixion of Christ, and start their trek across the Blood Sea. But first, the creepy crew encounter the inhabitants of the island: a tribe of of drooling albino vampires! As the Red Gortex sucks our heroes into its crimson depths, Molly pops in yet another terrifying tape and insists The Gore Collector lock his eyes on the screen...",Horror,"Shine-up your crucifix, chop your garlic and prepare for the wildest BUNKER OF BLOOD yet! It's got BITE!",compilation,"Charles Band, Ted Nicolaou","Denice Duff, Anders Hove",/lDmBmC5mqw0CLCkTpfycXkGhnIl.jpg,Released,English,3.7
No Dough Boys,"The stooges are dressed as Japanese soldiers for their job as magazine models. On their lunch break they go into a restaurant with their Japanese uniforms on causing the proprietor to mistake them for the real thing, and a chase ensues. The boys fall through a trap door, and into a nest of Nazi spies where they are mistaken for ""Naki"", ""Saki"" and ""Waki"", three Japanese saboteurs. The stooges try to act the part, including demonstrating acrobatics and jiu-jitsu to their hosts. When the real ""Naki"", ""Saki"" and ""Waki"" show up, the boys are exposed and impostors, but after a wild fight manage to capture all the Axis spies.",Comedy,You'll go slap-happy when the stooges go Jap-happy!,"world war ii, mistaken identity, slapstick comedy, black and white, short film",Jules White,"Moe Howard, Larry Fine, Curly Howard, Vernon Dent, Christine McIntyre, John Tyrrell, Kelly Flint, Judy Malcolm, Brian O'Hara",/zxlQofWboK1qRZ910Hhl6XsqM7o.jpg,Released,English,7.1
Geronimo: An American Legend,"The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, while reclaiming what is rightfully theirs.","Western, History, Action",A Warrior. A Leader. A Legend.,"apache nation, native american, historical figure, historical, cavalry, geronimo",Walter Hill,"Jason Patric, Gene Hackman, Robert Duvall, Wes Studi, Matt Damon, Rodney A. Grant, Kevin Tighe, Steve Reevis, Carlos Palomino, Victor Aaron",/oW4IM0G5fCR68YalmemTGbPK15F.jpg,Released,English,6.6
Friends,French teens Paul and Michelle run away from home to a remote beach and have a baby.,"Drama, Romance",Who needs the world when you own the moon and stars.,"beach, runaway, pregnancy, love, cottage, teenage pregnancy",Lewis Gilbert,"Anicée Alvina, Sean Bury, Ronald Lewis, Toby Robins, Pascale Roberts, Sady Rebbot, Joan Hickson",/oaNJNddADomFR97gr3SsY6xVUuU.jpg,Released,English,6.5
Midnight Cop,"Police Commissioner Alex Glass has been twisted into a sarcastic cynic by the hard luck story that is his life and by his daily contact with the criminals of Berlin's underground. His new assistant, Shirly Mai, is an attractive and conscientious woman who embodies a quality of virtue that her boss gave up a long time ago. They have both been assigned to solve a series of gruesome murders that have been taking place in Berlin's drug and prostitution ganglands. The prime suspect is George Miskowski, a pusher who supplies Berlin's brothels and hookers with cocaine and heroin.",Thriller,"When the clock strikes twelve, evil rules the city.","police, murder, drugs",Peter Patzak,"Armin Mueller-Stahl, Morgan Fairchild, Michael York, Frank Stallone Jr., Julia Kent, Monica Bleibtreu, Ludger Pistor",/4zTbPAUy2klgyWGWraM07JMvU76.jpg,Released,English,4.3
The Hand that Rocks the Cradle,"A suburban family chooses seemingly sweet Peyton Flanders as their newborn's nanny. Only much later does the infant's mother, Claire Bartel, realize Peyton's true intentions -- to destroy Claire and replace her in the family. The nail-biting suspense builds quickly in this chilling psychological thriller about deception and bitter revenge.","Drama, Thriller",Trust is her weapon. Innocence her opportunity. Revenge her only desire.,"rage and hate, loss of loved one, nanny, destroy, family's daily life, infant, childlessness, malice, desire to have children, child",Curtis Hanson,"Annabella Sciorra, Rebecca De Mornay, Matt McCoy, Ernie Hudson, Madeline Zima, Julianne Moore, John de Lancie, Kevin Skousen, Mitchell Laurance, Jane Jones",/1fBnyO3SbNBplck45js6O4pQaLw.jpg,Released,English,6.7
